Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2005","2005","ha","240000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2006","2006","ha","236000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2007","2007","ha","236000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2008","2008","ha","236000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2009","2009","ha","267000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2005","2005","hg/ha","14042","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2006","2006","hg/ha","15424","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2007","2007","hg/ha","15678","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2008","2008","hg/ha","14110","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2009","2009","hg/ha","18202","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2005","2005","tonnes","337000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2006","2006","tonnes","364000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2007","2007","tonnes","370000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2008","2008","tonnes","333000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2009","2009","tonnes","486000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2005","2005","ha","261000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2006","2006","ha","137000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2007","2007","ha","137000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2008","2008","ha","137000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2009","2009","ha","140000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2005","2005","hg/ha","12069","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2006","2006","hg/ha","26204","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2007","2007","hg/ha","26277","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2008","2008","hg/ha","26277","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2009","2009","hg/ha","21429","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2005","2005","tonnes","315000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2006","2006","tonnes","359000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2007","2007","tonnes","360000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2008","2008","tonnes","360000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2009","2009","tonnes","300000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0118","Millet","2005","2005","ha","27000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0118","Millet","2006","2006","ha","12000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0118","Millet","2007","2007","ha","12000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0118","Millet","2008","2008","ha","12000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0118","Millet","2009","2009","ha","10000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0118","Millet","2005","2005","hg/ha","8148","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0118","Millet","2006","2006","hg/ha","10000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0118","Millet","2007","2007","hg/ha","16667","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0118","Millet","2008","2008","hg/ha","18333","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0118","Millet","2009","2009","hg/ha","19000","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0118","Millet","2005","2005","tonnes","22000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0118","Millet","2006","2006","tonnes","12000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0118","Millet","2007","2007","tonnes","20000","T","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0118","Millet","2008","2008","tonnes","22000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0118","Millet","2009","2009","tonnes","19000","T","Unofficial figure"
